CourseID	Certification Year	Name	Dist	Units	City	State	Measurer	Full state	City,State	Latitude	Longitude	Color	Certificate URL	Steet map	Driving directions	Date added	Replaces
ON-2012-016-BDC	2012	Commissioners St. 300m Calibration Course	300	m	West Zorra Township	ON		Ontario	West Zorra Township,Ontario			PURPLE	<a href='https://www.acroad.ca/certificates/2012/ON-2012-016-BDC.pdf' target='_blank'>ON-2012-016-BDC</a>				
ON-2012-087-BDC	2012	Croft Drive 300m Calibration Course	300	m	Lakeshore	ON		Ontario	Lakeshore,Ontario	42.3038299	-82.8189267	PURPLE	<a href='https://www.acroad.ca/certificates/2012/ON-2012-087-BDC.pdf' target='_blank'>ON-2012-087-BDC</a>	<a href='https://www.google.com/maps/place/42.3038299,-82.8189267' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=42.3038299,-82.8189267&travelmode=driving' target='_blank'>Driving directions to course</a>		
NS-2012-115-BDC	2012	George Street 299.986m Calibration Course	299.986	m	Sydney	NS		Nova Scotia	Sydney,Nova Scotia	46.1382112	-60.1941912	PURPLE	<a href='https://www.acroad.ca/certificates/2012/NS-2012-115-BDC.pdf' target='_blank'>NS-2012-115-BDC</a>	<a href='https://www.google.com/maps/place/46.1382112,-60.1941912' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=46.1382112,-60.1941912&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2012-037-BDC	2012	Gilkison St. 300m Calibration Course	300	m	Brantford	ON		Ontario	Brantford,Ontario	43.1408157	-80.2631733	PURPLE	<a href='https://www.acroad.ca/certificates/2012/ON-2012-037-BDC.pdf' target='_blank'>ON-2012-037-BDC</a>	<a href='https://www.google.com/maps/place/43.1408157,-80.2631733' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.1408157,-80.2631733&travelmode=driving' target='_blank'>Driving directions to course</a>		
MB-2012-129-BDC	2012	Grant Ave. Bike path (North Side) 300m Calibration Course	300	m	Winnipeg	MB		Manitoba	Winnipeg,Manitoba	49.8955367	-97.1384584	PURPLE	<a href='https://www.acroad.ca/certificates/2012/MB-2012-129-BDC.pdf' target='_blank'>MB-2012-129-BDC</a>	<a href='https://www.google.com/maps/place/49.8955367,-97.1384584' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=49.8955367,-97.1384584&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2012-116-BDC	2012	Hamshire Way 300m Calibration Course	300	m	Milton	ON		Ontario	Milton,Ontario	43.5136710	-79.8828170	PURPLE	<a href='https://www.acroad.ca/certificates/2012/ON-2012-116-BDC.pdf' target='_blank'>ON-2012-116-BDC</a>	<a href='https://www.google.com/maps/place/43.5136710,-79.8828170' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.5136710,-79.8828170&travelmode=driving' target='_blank'>Driving directions to course</a>		
MB-2012-084-BDC	2012	Harris Road 302.333m Calibration Course	302.333	m	Winnipeg	MB		Manitoba	Winnipeg,Manitoba	49.8955367	-97.1384584	PURPLE	<a href='https://www.acroad.ca/certificates/2012/MB-2012-084-BDC.pdf' target='_blank'>MB-2012-084-BDC</a>	<a href='https://www.google.com/maps/place/49.8955367,-97.1384584' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=49.8955367,-97.1384584&travelmode=driving' target='_blank'>Driving directions to course</a>		
MB-2012-130-BDC	2012	Harte Trail 300m Calibration Course	300	m	Winnipeg	MB		Manitoba	Winnipeg,Manitoba	49.8955367	-97.1384584	PURPLE	<a href='https://www.acroad.ca/certificates/2012/MB-2012-130-BDC.pdf' target='_blank'>MB-2012-130-BDC</a>	<a href='https://www.google.com/maps/place/49.8955367,-97.1384584' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=49.8955367,-97.1384584&travelmode=driving' target='_blank'>Driving directions to course</a>		
NS-2012-0690-BDC	2012	Highway 209 300m Calibration Course	300	m	Parrsboro	NS		Nova Scotia	Parrsboro,Nova Scotia	45.4054809	-64.3260590	PURPLE	<a href='https://www.acroad.ca/certificates/2012/NS-2012-0690-BDC.pdf' target='_blank'>NS-2012-0690-BDC</a>	<a href='https://www.google.com/maps/place/45.4054809,-64.3260590' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=45.4054809,-64.3260590&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2012-052-BDC	2012	Kitchener Street 300m Calibration Course	300	m	Niagara Falls	ON		Ontario	Niagara Falls,Ontario	43.1065603	-79.0639039	PURPLE	<a href='https://www.acroad.ca/certificates/2012/ON-2012-052-BDC.pdf' target='_blank'>ON-2012-052-BDC</a>	<a href='https://www.google.com/maps/place/43.1065603,-79.0639039' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.1065603,-79.0639039&travelmode=driving' target='_blank'>Driving directions to course</a>		
